bando,piattaforma,commento_p,target
faber i ed,bandi online,troppe informazioni ripetere moduli facilmente gestibili ente direttamente,0
e di nuovo sport,bandi online,facile comprensibile utilizzo,1
smaltimento amianto anno 2019,bandi online,non non_ricevuto non_risposta non_richiesta non_assitenza,0
musei 2016,siage,non non_automatismi non_sistema non_funzionano non_stati non_avvisati non_telefonicamente non_rendiconto non_andava non_inserito non_nuovamente non_nessuna non_mail non_pervenuta,0
rinnova autoveicoli,bandi online,non non_chiari non_percorsi non_operare non_particolare non_percorso non_provvedere non_rendicontazione non_tutte non_domande non_risulta non_fuorviante,0
asd 2019,bandi online,laborioso fase finale non non_molto non_chiaro non_dovrebbe non_esderci non_ultima non_pagina non_riepilogo non_spese,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,istruzioni partecipazione bando risultate chiare assistenza fornita ente specializzato soddisfatto aspettative professionalità stesso tempo attenzione singolo,1
innodrivermisuraa,bandi online,vorrei solo pubblicità bandi non non_sempre non_collega non_portale,1
asd 2019,bandi online,bando molto utile supportare attività sportiva asdla gestione siage molto migliorata anni immediata intuitiva,1
asd 2018,bandi online,non non_posso non_esprimermi non_massimo non_punteggio non_quasi non_ritengo non_possa non_migliorare non_fase non_rendicontazione non_presenza non_numero non_elevato non_quietanze non_fronte non_importo non_riconosciuto non_collaboratore non_magari non_importazione non_massiva non_quietanze,1
rivivi lombardia anno 2020,bandi online,facile compilare molto intuitivo,1
telecamere mobili com singolo 2018,bandi online,non non_chiara non_fase non_rendicontazione non_parte non_legata non_allegati non_aggiungere,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,pò troppa burocrazia,1
turismoeattrattivita,siage,due problemi principali 1 dover anticipate interamente spesa 2 lentezza rimborso,0
promozione della musica e della danza 2019,bandi online,semplificato rispetto passato potrebbe semplificarsi ancora,1
adeguamento sale da spettacolo ed 2019,bandi online,disponibilità competenza assistenza supporto pieno gestione problemi inclusi errori,1
promozione culturale 2019,bandi online,saputo valorizzare realtà territorio fatica realizzano appuntamenti alto valore,1
alvia,bandi online,pochi problemi,1
archemisuraa,bandi online,troppo macchinosa fase rendicontazione fase relativa inserimento fatture pagamenti molto meglio modalità precedentemente utilizzata,0
formazione continua vi,bandi online,passaggi presentare domanda pò spinosi,0
sicurezza_urbana_lotto_b_2017,siage,migliorare criteri assegnazione non non_base non_orario non_presentazione,1
turismoeattrattivita,siage,veloce snello compilazione,1
e di nuovo sport,bandi online,fase inserimento fino rendicontazione passaggi richieste ripetute inserimenti procedura dovrebbe essere unica unico documento caricare non non_volte non_tempi non_ristretti,0
e di nuovo sport,bandi online,fase accettazione dovuto avere supporto commercialista domande relative leggi non non_spiegate non non_sapevo non_rispondere non_chiedo non_davvero non_necessarie non_fase non_rendicontazione non_1 non_mail non_avvisava non_scadenza non_arrivata non_5 non_gg non_prima non_scadenza non_potrebbe non_prevedere non_promemoria non_qualche non_settimana non_prima non non_mestiere non_seguire non_bandi non_gente non_comune non_possono non_sfuggire non_alcune non_scadenze non_2 non_mail non_arrivata non_comunicava non_scadeva non_tempo non_rendicontazione non non_chiara non non_capiva non_procedura non_inserire non_dati non_buttato non_via non_3 non_giorni non_inserito non_pagina non_rendicontazione non_regione non_lombardia non_settore non_bandi non_quindi non_maggior non_chiarezza non_comunicazione non_riduzione non_rischio non_errore non_parte non_piattaforma non_meglio,0
bando accumulo anno 2017,bandi online,troppa burocrazia tempi risposta lunghi,0
innodrivermisuraa,bandi online,bando così strutturato stato ottimo strumento innovazione pmi cementare rapporti crtt aspetto burocratico alcune gestioni burocratiche portrebbero essere semplificate complesso ottimo strumento,1
rinnova autoveicoli,bandi online,6 mesi erogazione contributo troppi,1
faber i ed,bandi online,norma,1
e di nuovo sport,bandi online,tempi risposta non non_immediati non_feste non_natalizie non_troppo non_complicato non_metodo non_rendicontazione non_scannerizzazione non_spese non_unione non_unico non_file non_certificazione non_bancaria non_vorrebbe non_metodo non_meno non_complicato non_richieda non_meno non_tempo non_specie non_caso non_spese non_molte non_piccola non_entità,1
asd 2018,bandi online,rendicontazione intuitiva,1
bando accumulo anno 2017,siage,chiarezza gestione documenti richiesti,1
enti ecclesiastici anno 2019,bandi online,piattaforma troppo rigida non non_recepisce non_eventuali non_cambiamenti non_corso non_d non_opera non_seppure non_autorizzati non_esempio non_data non_inizio non_lavori non_ecc,0
alvia,bandi online,può migliorare gestione burocratica,1
biblioteche 2016,siage,difficoltà introduzione firma elettronica rendicontazione piattaforma risolta sempre direttamente spazio regione lombardia,0
asd 2019,bandi online,documentazione ripetitiva,0
nidigratis2019,bandi online,ancora problemi riguardo gestioni associate dovendo fare domanda adesione comune capofila parte controlli non non_viene non_riconosciuta non_gestione non_associata non_crea non_problemi non_fase non_riconoscimento non_contributi non_suggerimento non_implementare non_piattaforma non_tale non_indicazione,1
promozione educativa e culturale 2018 2020,bandi online,unica nota negativa portale sede rendicontazione segnala errori caricamento spese solo momento invio pratica protocollo non non_mentre non_caricano non_via non_via non_singole non_spese,1
musei spese correnti 2019,bandi online,non non_sempre non_chiare non_richieste,0
alvia,bandi online,chiaro snello migliorare forse rispondenza riportato linee guida rendicontazione rinvenibile piattaforma alcune richieste piattaforma non non_esplicitate non_linee non_guida,1
interventi urgenti di valorizzazione dei beni culturali 2017,siage,caricamento rendicontazione caso primo errore caricamento non non_facile non_correzione,1
rinnova autoveicoli,bandi online,piattaforma semplice intuitiva aggiungerei possibilità eliminare pratiche create errore complimenti,1
alvia,bandi online,ausilio consulente esterno non non_riscontrato non_particolari non_difficoltà non_svolgimento non_iter,1
turismoeattrattivita,siage,unica pecca tempi versamento fondi minimo 90 giorni tre mesi lunghi quando già pagate grosse somme,1
